"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Austria","AUT","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","27.3289708506841","30.0034526412706","32.5438027255029","33.3762886597938","37.4482109227872","38.6690992894181","41.9764617971231","46.0776218001651","49.4241925707854","50.1230718739744","48.9221643518518","53.2939604865359","53.9089010702167","55.7627841774852","51.0911179173048","53.1180475965752","54.6578782172002","55.9128563042202","55.4797142128094","56.1409775555159","49.8878295008413","53.4722675899915","53.2334921715453","50.8606094808126","46.773326162947","46.3363947174365","51.4239218877136","53.7499206198006","51.4230716348137","51.4365090120613","47.4438184314399","48.2196988144825","50.3918415120513","52.2198564013841","50.8561125407445","49.1011180124224","49.9706440677966","49.272100591716","52.5582542137003","50.7622141157811","49.4262883677003","49.5701074952143","49.8589361395416","49.8290437818963","48.9868627968338","49.4881466421826","49.3931538461538","50.2436650758001","48.8276629435883","50.6332893511332","48.3062778730703","46.9345920609345","47.6242543388112","48.1311178707224","49.1693886110663","48.9397878068092","49.3966130304464","","","","","","","",
"Azerbaijan","AZE","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.0362483191394","57.6291797458894","52.654358974359","43.480028402884","48.0033729569094","47.0383101089435","53.2315460776847","43.2985894791129","44.9370182454386","29.1503770661157","29.6206661421453","37.0010337798486","37.3799501320035","39.9718008185539","38.0114544922447","41.6819665576154","35.8889959432049","36.7866905330151","36.0322608695652","35.9638200280112","37.8740539661899","37.9783912073909","35.2427581979773","36.0886602424619","37.4896295162278","","","","","","","",
"Burundi","BDI","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","100","100","100","100","100","100","100","100","100","100","95","95","96","100","95.8333333333333","100","100","96.6666666666667","97.5","95.3488372093023","90.6976744186046","91.0714285714286","90","93.6507936507937","92.1875","89.7058823529412","93.5483870967742","93.1506849315069","102.29","97.2552173913044","99.009","101.279047619048","103.025238095238","100.009090909091","103.342727272727","102.038260869565","102.038260869565","108.415652173913","102.958076923077","94.2942857142857","91.675","90.5964705882353","119.1775","91.675","90.71","94.57","89.8415","88.008","91.675","107.036756756757","83.6828205128205","82.2839024390244","84.6230769230769","84.9670731707317","93.269347826087","","","","","","","",
"Belgium","BEL","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","22.8401031592521","25.1175656984786","27.5778301005344","30.2769785419628","34.3415048286108","38.4224803505599","41.7079121645173","43.4761839770711","46.209520274659","48.2157159384177","52.0477566628718","54.9711837301228","54.6680119958519","53.0643500303662","47.2027118644068","50.3588911913986","50.0253850059232","50.6837408737977","50.6963938674152","48.4310444014434","47.2775564409031","44.8419620945566","45.2475278410332","45.0730651271874","41.4588333507252","42.2920322920323","49.012618521423","47.2119487908962","48.901962217269","44.1426377751237","41.7489845393834","44.9172104247104","47.703971334461","47.1105094905095","46.3561140121845","45.8623051409619","47.5343892842193","48.2991435185185","47.4981065237417","46.9684572764263","44.2084865279673","45.7336935947271","45.0328110058638","47.407483982684","46.7975065777934","47.3152734834102","46.6230446387483","46.3993479300124","47.5375984288787","50.6617738537173","51.6383309852541","52.9464612326044","49.8304212299916","50.5963254321499","55.0822770629991","55.3401144957983","53.4848589906701","","","","","","","",
"Benin","BEN","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","72.3404255319149","65.8119658119658","67.910447761194","66.9354838709677","70.0729927007299","79.8029556650246","78.0748663101604","72.108843537415","82.1192052980133","80.2325581395349","146.68","200.018181818182","198.629166666667","209.542857142857","258.5235","225.600217391304","103.374476190476","90.1963709677419","85.7513846153846","103.037535211268","96.3486274509804","91.8742934782609","92.1939150943396","93.6779831932773","94.2114624505929","81.6501079136691","81.6697389033942","84.7837129840547","85.9848275862069","85.1992340425532","87.4160826771653","86.9623895582329","86.723776371308","86.3425099601594","81.5924137931034","84.4818030050083","72.7313692946058","","","","","","","",
"Burkina Faso","BFA","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","98.8225423728813","104.5095","103.39737704918","101.138225806452","104.095483870968","95.68578125","96.25875","96.1469512195122","95.8420454545455","90.689247311828","94.2942857142857","95.2700980392157","97.0676470588235","96.6754545454546","96.3804424778761","96.6174782608696","96.1277857142857","94.0760119047619","81.4035602094241","83.6","86.6745454545455","86.6745454545455","87.4126199261993","88.8969696969697","91.3107284768212","94.0477647058823","93.3513428571429","","","","","","","",
"Bangladesh","BGD","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","46.2953367875648","46.7850888166125","46.6985428051002","48.3858189740543","47.6401464072433","48.9994492381127","51.6507306512719","51.6913139554649","53.2167210198636","48.5709918997402","51.0320928130179","49.578897187351","69.1745036572623","64.4122383252818","60.5035405192762","68.75","65.174456879526","61.5141955835962","62.3400365630713","63.3204633204633","62.9380700912146","61.1650485436893","54.7121535181237","51.6473731077471","48.2315112540193","47.2948763883913","46.1932181701855","44.9459041731066","44.3421765024364","42.8999727446171","46.3786371527778","48.6563157894737","45.5117512690355","43.6130867143994","43.5490103397341","40.6582779456193","42.6217895362663","44.3635477069056","42.8991376623377","44.0550571854799","35.5351778290993","38.305783553142","36.0550455705432","34.4925986727209","34.8202849656076","32.4323784775298","30.4493788300836","26.7954514345881","23.8469648869649","22.3461653631285","21.4524574930803","24.6420782800441","25.6797499568891","23.0625123803235","24.7608714733542","20.5063509555029","20.9507336588012","","","","","","","",
"Bulgaria","BGR","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","12.8289473684211","14.0618382041508","16.4161298019566","18.9045183290708","22.0035931217384","23.561079882828","25.3928866832093","27.5392182930072","29.5201133493501","33.9373515275399","41.5329341317365","46.0792700313658","46.8550845109449","47.6530449144867","49.2770030360727","46.8580606303955","48.2922914890416","48.7329246512526","48.6734831764335","45.2165855918462","39.9555155932043","40.5340027384756","43.7527971032182","43.4727914620785","41.2381951731375","41.109017937587","41.738782051282","39.61342990916","39.3127205511679","39.9171387503171","34.0927311038608","29.0744736393107","26.306883729367","48.0721501706485","29.9348337070254","32.4256939111355","26.8331692698874","21.9731422147274","24.122901759241","25.7269435665914","24.3394691899377","22.853239497618","27.3743272977309","25.14601795782","24.1331814328105","27.0046825396825","27.1524239330202","24.2306328392246","24.2316650009994","26.9670002327205","24.8718260869565","20.8340527481377","24.210977393617","25.1311978905073","26.0849348804168","26.4706690534795","29.2727455678007","","","","","","","",
"Bahrain","BHR","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","92.0245398773006","93.8073394495413","92.2388059701493","82.4858757062147","88.6861313868613","53.156146179402","53.314121037464","73.974540311174","66.5862484921592","41.0358565737052","43.6254980079681","29.8507462686567","30.5927342256214","36.3636363636364","39.1752577319588","35.7884796978281","32.6871055004509","29.0097629009763","33.7204301075269","36.8244502422661","20.2317290552585","26.0055754679411","19.1007194244604","14.7852147852148","21.3346166185435","20.3798613204703","14.058106841612","17.6179888268156","17.9629855072464","6.87375713121434","15.3750267788829","18.0470157068063","12.2955539143279","14.569661256175","18.9198890429958","19.3634622823985","13.5999417475728","16.487644836272","12.7975838926174","18.9525551684088","20.8667817371938","23.7035861684328","25.970154589372","16.6074355555556","25.0522555410691","26.4847113443682","14.8578002426203","15.8508121632025","14.9610218978102","9.27445991719985","15.8486821974965","7.75384844473858","13.0142549019608","12.5916523178808","","","","","","","",
"Bahamas, The","BHS","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","80","79.1011235955056","76.6806722689076","83.9031339031339","93.7908496732026","92.4293785310735","93.7587331159758","94.4913151364764","97.6899155930698","97.9013045944413","99.622641509434","97.5027746947836","96.7724867724868","97.0628728774667","97.1204188481675","96.9205834683954","99.4545454545455","100","100","100","100","100","99.8116760828625","103.417640449438","97.9167021276596","73.0501185770751","83.6425238095238","85.5633333333333","83.5652884615385","87.6729441624365","85.9776836158192","84.1633039647577","87.4817937219731","90.9895794392523","87.4570892018779","84.4375","87.0301333333333","90.9959259259259","90.2227227722772","87.6812376237624","86.626231884058","111.747914691943","26.6192524916944","114.59375","74.249173553719","52.1842307692308","92.2055948553055","89.575572519084","84.7897046413502","81.3772602739726","","","","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.98838447088291","10.0432014925373","51.0594936708861","49.1835014836795","40.7833412887828","20.775347467609","20.0389962825279","20.2870152091255","23.6843512544803","23.6116424418605","21.3068818681319","19.1986944818304","21.8795311496468","19.3404313000616","18.529508654383","18.7717787188989","19.7657658959538","21.3715395823215","21.4142946257198","18.6284835720303","18.7190664845173","18.3433913043478","21.0161056952283","21.7102855685875","21.6671441360788","","","","","","","",
"Belarus","BLR","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6395238095238","48.1365897166842","47.1771145817226","49.5966052494351","45.5490560875513","38.762767146486","38.560206185567","36.0430483812295","31.5144706548405","30.5323463471202","28.9421711415878","27.8217488106565","29.4964353595123","29.2684773371105","31.4884373405883","29.0610549258936","30.597881201261","40.7793479020979","27.560663738409","34.4327215081405","31.579499916374","30.5573135324545","30.2757188498403","30.5572198943341","30.4930211918131","","","","","","","",
"Belize","BLZ","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","94.4530303030303","94.6597674418605","71.1398","82.1089130434783","83.1186666666667","82.1089130434783","85.5633333333333","84.5004347826087","82.3037777777778","84.9670731707317","88.008","84.4101886792453","83.2126923076923","84.8443137254902","89.1747727272727","89.7244680851064","87.0013725490196","89.9452830188679","87.2746","40.186301369863","93.6394642857143","92.24796875","68.0255072463768","101.2092","100.281224489796","87.2301515151515","86.8796923076923","","","","","","","",
